Date,BTCX21.CME,BTCZ21.CME,BTCF22.CME,BTCG22.CME,BTCH22.CME,BTCJ22.CME,BTCZ22.CME,BTC-USD
2020-06-03,,10670.0,,,,,,9656.7177734375
2020-06-04,,10945.0,,,,,,9800.63671875
2020-06-05,,10845.0,,,,,,9665.533203125
2020-06-08,,10825.0,,,,,,9771.4892578125
2020-06-09,,10890.0,,,,,,9795.7001953125
2020-06-10,,10980.0,,,,,,9870.0947265625
2020-06-11,,10360.0,,,,,,9321.78125
2020-06-12,,10515.0,,,,,,9480.84375
2020-06-15,,10510.0,,,,,,9450.7021484375
2020-06-16,,10620.0,,,,,,9538.0244140625
2020-06-17,,10515.0,,,,,,9480.2548828125
2020-06-18,,10590.0,,,,,,9411.8408203125
2020-06-19,,10500.0,,,,,,9288.0185546875
2020-06-22,,10705.0,,,,,,9648.7177734375
2020-06-23,,10755.0,,,,,,9629.658203125
2020-06-24,,10375.0,,,,,,9313.6103515625
2020-06-25,,10375.0,,,,,,9264.8134765625
2020-06-26,,10250.0,,,,,,9162.91796875
2020-06-29,,10225.0,,,,,,9190.8544921875
2020-06-30,,10210.0,,,,,,9137.9931640625
2020-07-01,,10375.0,,,,,,9228.3251953125
2020-07-02,,10175.0,,,,,,9123.41015625
2020-07-06,,10390.0,,,,,,9375.474609375
2020-07-07,,10345.0,,,,,,9252.27734375
2020-07-08,,10545.0,,,,,,9428.3330078125
2020-07-09,,10270.0,,,,,,9277.9677734375
2020-07-10,,10290.0,,,,,,9278.8076171875
2020-07-13,,10285.0,,,,,,9243.6142578125
2020-07-14,,10315.0,,,,,,9243.2138671875
2020-07-15,,9905.0,,,,,,9192.8369140625
2020-07-16,,9795.0,,,,,,9132.2275390625
2020-07-17,,9845.0,,,,,,9151.392578125
2020-07-20,,9855.0,,,,,,9164.2314453125
2020-07-21,,10055.0,,,,,,9374.8876953125
2020-07-22,,10080.0,,,,,,9525.36328125
2020-07-23,,10330.0,,,,,,9581.072265625
2020-07-24,,10310.0,,,,,,9536.892578125
2020-07-27,,11750.0,,,,,,10990.873046875
2020-07-28,,11950.0,,,,,,10912.8232421875
2020-07-29,,12150.0,,,,,,11100.4677734375
2020-07-30,,12070.0,,,,,,11111.2138671875
2020-07-31,,12280.0,,,,,,11323.466796875
2020-08-03,,12340.0,,,,,,11246.3486328125
2020-08-04,,12150.0,,,,,,11205.892578125
2020-08-05,,12595.0,,,,,,11747.0224609375
2020-08-06,,12795.0,,,,,,11779.7734375
2020-08-07,,12385.0,,,,,,11601.47265625
2020-08-10,,12910.0,,,,,,11878.111328125
2020-08-11,,12310.0,,,,,,11410.525390625
2020-08-12,,12535.0,,,,,,11584.9345703125
2020-08-13,,12465.0,,,,,,11784.1376953125
2020-08-14,,12835.0,,,,,,11768.87109375
2020-08-17,,13435.0,,,,,,12254.40234375
2020-08-18,,13000.0,,,,,,11991.2333984375
2020-08-19,,12600.0,,,,,,11758.283203125
2020-08-20,,12790.0,,,,,,11878.3720703125
2020-08-21,,12615.0,,,,,,11592.4892578125
2020-08-24,,12650.0,,,,,,11774.595703125
2020-08-25,,12130.0,,,,,,11366.134765625
2020-08-26,,12300.0,,,,,,11488.36328125
2020-08-27,,12280.0,,,,,,11323.3974609375
2020-08-28,,12635.0,,,,,,11542.5
